PlayerList,NumSecret,NumRounds,round_number,player,playerid,word,points_won,points_spent,score
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,1,f10.g1.players.NaivePlayer,0,,0,3,97
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,1,f10.g3.OurPlayer,1,ANODES,7,43,64
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,1,f10.g4.G4Player,2,OBLOQUY,71,49,122
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,1,f10.g5.Ninja,3,WAILING,61,37,124
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,1,f10.g6.InitialPlayer,4,EPIGEAN,60,28,132
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,1,f10.g7.ClassyPlayer,5,JUMPILY,71,45,126
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,1,f10.g9.BiddingPlayer,6,WAIRUAS,60,25,135
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,2,f10.g1.players.NaivePlayer,0,AIN,3,6,94
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,2,f10.g3.OurPlayer,1,DEEING,8,26,46
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,2,f10.g4.G4Player,2,EFFORCE,65,48,139
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,2,f10.g5.Ninja,3,STRAYVE,63,44,143
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,2,f10.g6.InitialPlayer,4,AZLONS,15,28,119
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,2,f10.g7.ClassyPlayer,5,MEADOWY,66,37,155
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,2,f10.g9.BiddingPlayer,6,CRETISM,61,46,150
f10.g1.players.NaivePlayer f10.g3.OurPlayer f10.g4.G4Player f10.g5.Ninja f10.g6.InitialPlayer f10.g7.ClassyPlayer f10.g9.BiddingPlayer ,0,100,3,f10.g1.players.NaivePlayer,0,AE,2,8,88
